67.0000	1900	1901	1944	1980
66.9815	1880	1902	1902	1933
66.9629	1837	1990	1968	1951
66.9444	1965	1904	1947	1904
66.9259	1942	1821	1945	1946
66.9074	1889	1836	1909	1933
66.8888	1919	1945	1872	1861
66.8703	1964	1896	1920	1854
66.8518	1868	1937	1981	1958
66.8333	1865	1987	1909	1939
66.8147	1871	1886	1887	1964
66.7962	1942	1966	1983	1876
66.7777	1938	1930	2076	1998
66.7591	1904	1947	1934	2024
66.7406	1969	1983	1929	1960
66.7221	2036	1858	1970	1932
66.7036	1954	1954	1890	2058
66.6850	2023	1922	1963	1986
66.6665	1982	1923	2043	2015
66.6480	2009	1989	2040	1976
66.6295	2009	2075	2130	2073
66.6109	1959	1967	2025	2006
66.5924	2069	2052	2038	2014
66.5739	2070	2111	2001	2038
66.5553	1954	2119	2095	2032
66.5368	2093	1963	2071	2071
66.5183	2060	2087	2150	2022
66.4998	2093	2169	2134	2170
66.4812	2191	2245	2150	2151
66.4627	2065	2185	2205	2265
66.4442	2213	2160	2151	2201
66.4257	2183	2162	2232	2230
66.4071	2155	2248	2151	2164
66.3886	2180	2206	2228	2205
66.3701	2225	2235	2256	2216
66.3515	2270	2281	2245	2296
66.3330	2310	2377	2352	2225
66.3145	2309	2386	2249	2372
66.2960	2318	2328	2423	2380
66.2774	2307	2307	2333	2336
66.2589	2373	2433	2327	2424
66.2404	2306	2468	2415	2496
66.2219	2329	2505	2457	2502
66.2033	2433	2479	2507	2535
66.1848	2498	2526	2545	2587
66.1663	2586	2612	2575	2579
66.1477	2651	2596	2523	2513
66.1292	2516	2617	2604	2630
66.1107	2587	2717	2707	2700
66.0922	2649	2746	2707	2711
66.0736	2740	2711	2765	2788
66.0551	2810	2718	2717	2744
66.0366	2778	2906	2802	2855
66.0181	2819	2832	2851	2891
65.9995	2958	2900	2969	2956
65.9810	2991	2913	3122	2982
65.9625	2943	3049	2985	3047
65.9439	3056	3063	3030	3040
65.9254	3134	3137	3160	3245
65.9069	3182	3089	3125	3198
65.8884	3220	3364	3276	3311
65.8698	3250	3243	3300	3389
65.8513	3323	3352	3296	3447
65.8328	3412	3486	3413	3378
65.8143	3391	3578	3498	3557
65.7957	3531	3580	3664	3783
65.7772	3728	3667	3751	3763
65.7587	3860	3661	3791	3764
65.7401	3925	3912	4048	3972
65.7216	3961	4009	3945	4044
65.7031	4030	4130	4256	4127
65.6846	4189	4169	4275	4271
65.6660	4238	4262	4355	4409
65.6475	4423	4438	4671	4443
65.6290	4607	4697	4609	4721
65.6105	4671	4997	4909	4776
65.5919	4847	4996	5096	5006
65.5734	5209	5174	5297	5218
65.5549	5377	5425	5533	5581
65.5363	5498	5568	5692	5794
65.5178	5959	5990	6018	5889
65.4993	6165	6210	6388	6298
65.4808	6497	6700	6650	6654
65.4622	6777	6932	7017	6825
65.4437	7202	7336	7265	7346
65.4252	7633	7704	7556	7788
65.4067	8145	8284	8144	8088
65.3881	8571	8646	8760	8563
65.3696	9126	9272	9238	9261
65.3511	9701	9651	9948	9806
65.3325	10196	10295	10398	10452
65.3140	10948	11195	11085	10946
65.2955	11568	11760	11927	11623
65.2770	12088	12689	12450	12550
65.2584	12917	13255	13048	13134
65.2399	13901	13824	14011	14079
65.2214	14419	14362	14560	14623
65.2029	14939	15294	15268	15015
65.1843	15351	15509	15383	15557
65.1658	15650	16073	15831	16062
65.1473	15955	16171	16161	16366
65.1287	16155	16264	16366	16372
65.1102	16104	16203	16435	16273
65.0917	16033	16044	16133	15965
65.0732	15670	15851	15627	16027
65.0546	15428	15241	15384	15393
65.0361	14709	15122	15169	15035
65.0176	14321	14340	14169	14479
64.9991	13685	13738	13773	13783
64.9805	12935	13307	13217	13187
64.9620	12380	12456	12380	12356
64.9435	11658	11782	11978	11825
64.9249	11262	11141	11150	11126
64.9064	10307	10527	10477	10313
64.8879	9714	9727	9924	9697
64.8694	9087	9220	9015	9139
64.8508	8460	8661	8488	8631
64.8323	7830	8104	7955	8091
64.8138	7473	7450	7311	7239
64.7953	6911	6800	6790	6940
64.7767	6290	6374	6370	6294
64.7582	5922	5798	5671	5833
64.7397	5431	5425	5491	5430
64.7211	5004	4971	5003	5064
64.7026	4582	4694	4706	4675
64.6841	4242	4251	4344	4238
64.6656	4069	3944	4014	3930
64.6470	3773	3798	3783	3646
64.6285	3389	3490	3462	3358
64.6100	3188	3147	3224	3252
64.5915	3004	3018	2981	2973
64.5729	2791	2838	2929	2719
64.5544	2564	2667	2642	2583
64.5359	2425	2557	2387	2485
64.5173	2387	2403	2322	2265
64.4988	2185	2284	2159	2111
64.4803	1967	2059	2107	2074
64.4618	1905	1970	1936	1999
64.4432	1779	1826	1845	1777
64.4247	1752	1709	1695	1678
64.4062	1630	1649	1549	1689
64.3877	1504	1593	1557	1591
64.3691	1533	1414	1523	1506
64.3506	1293	1498	1427	1405
64.3321	1332	1318	1330	1343
64.3135	1254	1267	1265	1282
64.2950	1247	1254	1196	1272
64.2765	1163	1231	1209	1179
64.2580	1160	1109	1153	1123
64.2394	1131	1069	1108	1087
64.2209	1050	1024	1003	1076
64.2024	1031	984	1009	1022
64.1839	992	1012	985	1007
64.1653	988	980	944	989
64.1468	937	968	980	921
64.1283	925	932	890	890
64.1097	883	895	964	884
64.0912	858	871	837	821
64.0727	843	822	844	810
64.0542	814	815	801	804
64.0356	722	822	773	759
64.0171	828	721	796	775
63.9986	759	762	741	735
63.9801	735	774	785	692
63.9615	687	716	747	730
63.9430	687	759	702	666
63.9245	688	667	708	674
63.9059	648	657	666	711
