File_Block,Excitation_Energy_eV,PE_eV,Dwell_Time_s,Scans
SE0524_029,400.00,5.00,0.0500,1
SE0524_030,200.00,2.00,0.1000,1
SE0524_031,650.00,10.00,0.0500,1
SE0524_032,200.00,2.00,0.1000,3
SE0524_033,200.00,2.00,0.1000,5
SE0524_034,400.00,5.00,0.0500,1
SE0524_035,400.00,5.00,0.0500,1
SE0524_036,400.00,5.00,0.1000,10
SE0524_037,400.00,5.00,0.1000,3
SE0524_038,400.00,4.00,0.1000,5
SE0524_039,400.00,4.00,0.1000,3
SE0524_040,400.00,5.00,0.0500,1
SE0524_041,400.00,5.00,0.1000,10
SE0524_042,400.00,5.00,0.1000,3
SE0524_043,400.00,5.00,0.0500,1
SE0524_044,400.00,5.00,0.0500,1
SE0524_045,260.00,10.00,0.0500,1
SE0524_046,260.00,10.00,0.0500,1
SE0524_047,650.00,10.00,0.0500,1
SE0524_048,200.00,2.00,0.1000,1
SE0524_049,400.00,5.00,0.1000,5
SE0524_050,400.00,5.00,0.1000,3
SE0524_051,400.00,4.00,0.1000,3
SE0524_052,400.00,4.00,0.1000,5
SE0524_053,400.00,5.00,0.0500,1
SE0524_054,650.00,10.00,0.0500,1
SE0524_055,650.00,10.00,0.0500,1
SE0524_056,400.00,5.00,0.0500,1
SE0524_057,400.00,5.00,0.0500,1
SE0524_058,400.00,5.00,0.0500,1
SE0524_059,650.00,10.00,0.0500,1
SE0524_060,650.00,10.00,0.0500,1
SE0524_061,400.00,5.00,0.1000,5
SE0524_062,400.00,5.00,0.1000,3
SE0524_063,400.00,5.00,0.0500,1
SE0524_064,650.00,10.00,0.0500,1
SE0524_065,260.00,10.00,0.0500,1
SE0524_066,400.00,5.00,0.1000,5
SE0524_067,400.00,5.00,0.1000,3
SE0524_068,400.00,5.00,0.0500,1
SE0524_069,650.00,10.00,0.0500,1
SE0524_070,400.00,5.00,0.1000,5
SE0524_071,400.00,5.00,0.1000,3
SE0524_072,400.00,5.00,0.0500,1
SE0524_073,650.00,10.00,0.0500,1
SE0524_074,400.00,5.00,0.1000,5
SE0524_075,400.00,5.00,0.1000,3
SE0524_076,400.00,5.00,0.0500,1
SE0524_077,650.00,10.00,0.0500,1
SE0524_078,400.00,5.00,0.1000,5
SE0524_079,400.00,5.00,0.1000,3
SE0524_080,400.00,5.00,0.0500,1
SE0524_081,650.00,10.00,0.0500,1
SE0524_082,260.00,10.00,0.0500,1
SE0525_001,400.00,5.00,0.1000,5
SE0525_002,400.00,5.00,0.1000,3
SE0525_003,400.00,5.00,0.0500,1
SE0525_004,650.00,10.00,0.0500,1
SE0525_005,400.00,5.00,0.1000,5
SE0525_006,400.00,5.00,0.1000,3
SE0525_007,400.00,5.00,0.0500,1
SE0525_008,650.00,10.00,0.0500,1
SE0525_009,400.00,5.00,0.1000,5
SE0525_010,400.00,5.00,0.1000,3
SE0525_011,400.00,5.00,0.0500,1
SE0525_012,650.00,10.00,0.0500,1
SE0525_013,400.00,5.00,0.1000,6
SE0525_014,400.00,5.00,0.1000,2
SE0525_015,400.00,5.00,0.0500,1
