135.389,-1.636,0.130,0.240,0.250,10.427,-286.243,0.188,0.124,0.470,87.180,-284.403,0.188,0.124,0.470,291.376,-283.905,0.188,0.124,0.470,164.536,-283.530
135.439,-2.128,0.130,0.240,0.250,0.100,-286.243,0.188,0.124,0.470,75.040,-284.423,0.188,0.124,0.470,291.673,-283.911,0.188,0.124,0.470,163.526,-283.532
134.436,-2.014,0.130,0.240,0.170,0.100,-286.243,0.188,0.124,0.470,67.816,-284.444,0.188,0.124,0.470,275.518,-283.909,0.188,0.124,0.470,148.172,-283.520
133.482,-1.830,0.130,0.240,0.197,0.100,-286.243,0.188,0.124,0.470,63.019,-284.468,0.188,0.124,0.470,267.527,-283.911,0.188,0.124,0.470,134.443,-283.517
134.426,-1.921,0.130,0.240,0.170,0.100,-286.243,0.188,0.124,0.470,55.600,-284.468,0.188,0.124,0.470,244.726,-283.919,0.188,0.124,0.470,129.639,-283.523
135.334,-2.192,0.130,0.240,0.170,0.100,-286.243,0.188,0.124,0.470,55.997,-284.464,0.188,0.124,0.470,220.557,-283.929,0.188,0.124,0.470,133.245,-283.531
135.450,-1.964,0.130,0.240,0.250,0.100,-286.243,0.188,0.124,0.470,43.838,-284.490,0.188,0.124,0.470,212.512,-283.939,0.188,0.124,0.470,127.830,-283.547
135.768,-2.066,0.130,0.240,0.224,0.100,-286.243,0.188,0.124,0.470,41.242,-284.539,0.188,0.124,0.470,205.274,-283.943,0.188,0.124,0.470,119.455,-283.548
135.315,-1.933,0.130,0.240,0.170,0.100,-286.243,0.188,0.124,0.470,40.631,-284.570,0.188,0.124,0.470,200.955,-283.947,0.188,0.124,0.470,110.469,-283.536
133.853,-1.943,0.130,0.240,0.250,0.100,-286.243,0.188,0.124,0.470,39.460,-284.531,0.188,0.124,0.470,197.885,-283.930,0.188,0.124,0.470,102.750,-283.511
135.029,-2.086,0.130,0.240,0.250,0.100,-286.243,0.188,0.124,0.470,39.652,-284.521,0.188,0.124,0.470,182.723,-283.933,0.188,0.124,0.470,100.086,-283.521
134.523,-1.910,0.130,0.240,0.250,0.100,-286.243,0.188,0.124,0.470,35.646,-284.507,0.188,0.124,0.470,178.734,-283.929,0.188,0.124,0.470,85.744,-283.517
135.227,-1.721,0.130,0.240,0.250,0.100,-286.243,0.188,0.124,0.470,29.199,-284.572,0.188,0.124,0.470,161.447,-283.957,0.188,0.124,0.470,96.450,-283.549
136.581,-2.098,0.130,0.240,0.170,0.100,-286.243,0.188,0.124,0.470,27.566,-284.582,0.188,0.124,0.470,156.673,-283.967,0.188,0.124,0.470,93.233,-283.547
136.325,-2.077,0.130,0.240,0.250,0.100,-286.243,0.188,0.124,0.470,31.391,-284.559,0.188,0.124,0.470,138.670,-283.965,0.188,0.124,0.470,88.174,-283.551
136.572,-2.156,0.130,0.240,0.250,0.100,-286.243,0.188,0.124,0.470,27.040,-284.524,0.188,0.124,0.470,142.785,-283.935,0.188,0.124,0.470,76.162,-283.518
136.278,-1.924,0.130,0.240,0.170,0.100,-286.243,0.188,0.124,0.470,24.848,-284.541,0.188,0.124,0.470,132.150,-283.949,0.188,0.124,0.470,76.535,-283.544
136.728,-2.192,0.130,0.240,0.170,0.100,-286.243,0.188,0.124,0.470,25.031,-284.519,0.188,0.124,0.470,130.111,-283.936,0.188,0.124,0.470,61.373,-283.525
