67.0000	7725
66.9815	7617
66.9629	7746
66.9444	7720
66.9259	7654
66.9074	7567
66.8888	7597
66.8703	7634
66.8518	7744
66.8333	7700
66.8147	7608
66.7962	7767
66.7777	7942
66.7591	7809
66.7406	7841
66.7221	7796
66.7036	7856
66.6850	7894
66.6665	7963
66.6480	8014
66.6295	8287
66.6109	7957
66.5924	8173
66.5739	8220
66.5553	8200
66.5368	8198
66.5183	8319
66.4998	8566
66.4812	8737
66.4627	8720
66.4442	8725
66.4257	8807
66.4071	8718
66.3886	8819
66.3701	8932
66.3515	9092
66.3330	9264
66.3145	9316
66.2960	9449
66.2774	9283
66.2589	9557
66.2404	9685
66.2219	9793
66.2033	9954
66.1848	10156
66.1663	10352
66.1477	10283
66.1292	10367
66.1107	10711
66.0922	10813
66.0736	11004
66.0551	10989
66.0366	11341
66.0181	11393
65.9995	11783
65.9810	12008
65.9625	12024
65.9439	12189
65.9254	12676
65.9069	12594
65.8884	13171
65.8698	13182
65.8513	13418
65.8328	13689
65.8143	14024
65.7957	14558
65.7772	14909
65.7587	15076
65.7401	15857
65.7216	15959
65.7031	16543
65.6846	16904
65.6660	17264
65.6475	17975
65.6290	18634
65.6105	19353
65.5919	19945
65.5734	20898
65.5549	21916
65.5363	22552
65.5178	23856
65.4993	25061
65.4808	26501
65.4622	27551
65.4437	29149
65.4252	30681
65.4067	32661
65.3881	34540
65.3696	36897
65.3511	39106
65.3325	41341
65.3140	44174
65.2955	46878
65.2770	49777
65.2584	52354
65.2399	55815
65.2214	57964
65.2029	60516
65.1843	61800
65.1658	63616
65.1473	64653
65.1287	65157
65.1102	65015
65.0917	64175
65.0732	63175
65.0546	61446
65.0361	60035
65.0176	57309
64.9991	54979
64.9805	52646
64.9620	49572
64.9435	47243
64.9249	44679
64.9064	41624
64.8879	39062
64.8694	36461
64.8508	34240
64.8323	31980
64.8138	29473
64.7953	27441
64.7767	25328
64.7582	23224
64.7397	21777
64.7211	20042
64.7026	18657
64.6841	17075
64.6656	15957
64.6470	15000
64.6285	13699
64.6100	12811
64.5915	11976
64.5729	11277
64.5544	10456
64.5359	9854
64.5173	9377
64.4988	8739
64.4803	8207
64.4618	7810
64.4432	7227
64.4247	6834
64.4062	6517
64.3877	6245
64.3691	5976
64.3506	5623
64.3321	5323
64.3135	5068
64.2950	4969
64.2765	4782
64.2580	4545
64.2394	4395
64.2209	4153
64.2024	4046
64.1839	3996
64.1653	3901
64.1468	3806
64.1283	3637
64.1097	3626
64.0912	3387
64.0727	3319
64.0542	3234
64.0356	3076
64.0171	3120
63.9986	2997
63.9801	2986
63.9615	2880
63.9430	2814
63.9245	2737
63.9059	2682
63.8874	2612
63.8689	2573
63.8504	2602
63.8318	2500
63.8133	2442
63.7948	2458
63.7762	2399
63.7577	2387
63.7392	2245
63.7207	2250
63.7021	2240
63.6836	2154
63.6651	2154
63.6466	2158
63.6280	2088
63.6095	2125
63.5910	1973
63.5724	1950
63.5539	1868
63.5354	1921
63.5169	1930
63.4983	1890
63.4798	1832
63.4613	1871
63.4428	1836
63.4242	1814
63.4057	1759
63.3872	1758
63.3686	1695
63.3501	1775
63.3316	1583
63.3131	1682
63.2945	1677
63.2760	1675
63.2575	1629
63.2390	1507
63.2204	1546
63.2019	1534
63.1834	1543
63.1648	1540
63.1463	1494
63.1278	1532
63.1093	1500
63.0907	1432
63.0722	1457
63.0537	1461
63.0352	1472
63.0166	1352
62.9981	1428
62.9796	1400
62.9610	1404
62.9425	1383
62.9240	1375
62.9055	1351
62.8869	1350
62.8684	1435
62.8499	1352
62.8314	1314
62.8128	1325
62.7943	1310
62.7758	1310
62.7572	1266
62.7387	1266
62.7202	1243
62.7017	1268
62.6831	1257
62.6646	1278
62.6461	1278
62.6276	1211
62.6090	1255
62.5905	1179
62.5720	1244
62.5534	1169
62.5349	1261
62.5164	1280
62.4979	1198
62.4793	1194
62.4608	1172
62.4423	1162
62.4238	1091
62.4052	1182
62.3867	1137
62.3682	1182
62.3496	1102
62.3311	1178
62.3126	1124
62.2941	1074
62.2755	1127
62.2570	1124
62.2385	1034
62.2200	1102
62.2014	1108
62.1829	1148
62.1644	1101
62.1458	1078
62.1273	1082
62.1088	1084
62.0903	1060
62.0717	1078
62.0532	1100
62.0347	1049
62.0162	1080
61.9976	1076
